"","Name","Platform","Year_of_Release","Genre","Publisher","NA_players","EU_players","JP_players","Other_players","Global_players","Critic_Score","Critic_Count","User_Score","User_Count","Developer","Rating"
"1171","SoulCalibur IV","X360","2008","Fighting","Ubisoft",0.92,0.43,0.07,0.15,1.58,85,62,"7.9",157,"Namco","T"
"1172","Jampack Summer 2K","PS","2000","Misc","Sony Computer Entertainment",0.88,0.6,0,0.1,1.58,NA,NA,"",NA,"",""
"1173","Sonic Generations","PS3","2011","Platform","Sega",0.6,0.69,0.02,0.26,1.58,76,38,"8.2",253,"Sega","E"
"1174","Spyro 2: Season of Flame","GBA","2002","Platform","Vivendi Games",0.85,0.65,0,0.08,1.58,76,18,"7.6",13,"Digital Eclipse","E"
"1175","Mario Party 10","WiiU","2015","Misc","Nintendo",0.69,0.53,0.24,0.12,1.58,66,66,"6.5",279,"Nintendo, Nd Cube","E"
"1176","Devil May Cry 4","PS3","2008","Action","Capcom",0.58,0.45,0.34,0.2,1.57,84,63,"8.2",311,"Capcom","M"
"1177","Dead Rising 3","XOne","2013","Action","Microsoft Game Studios",1.06,0.35,0.01,0.15,1.57,78,69,"6.8",908,"Capcom Vancouver","M"
"1178","Pro Evolution Soccer 2010","PS2","2009","Sports","Konami Digital Entertainment",0.1,0.18,0.12,1.16,1.57,NA,NA,"8.1",15,"Konami","E"
"1179","NCAA Football 2002","PS2","2001","Sports","Electronic Arts",0.77,0.6,0,0.2,1.57,90,18,"8.7",24,"EA Sports","E"
"1180","Gears of War: Judgment","X360","2013","Shooter","Microsoft Game Studios",0.92,0.5,0.03,0.12,1.57,79,81,"5.4",779,"Epic Games","M"
"1181","Watch Dogs","XOne","2014","Action","Ubisoft",0.9,0.53,0,0.14,1.57,78,15,"5.8",712,"Ubisoft Montreal","M"
"1182","Guitar Hero: On Tour Decades","DS","2008","Misc","Activision",0.84,0.57,0,0.16,1.57,72,40,"8",5,"Vicarious Visions","E10+"
"1183","FIFA 16","X360","2015","Sports","Electronic Arts",0.57,0.88,0,0.12,1.57,NA,NA,"2.9",45,"EA Sports","E"
"1184","Madden NFL 15","XOne","2014","Sports","Electronic Arts",1.31,0.09,0,0.16,1.57,80,19,"6.4",138,"EA Sports","E"
"1185","Conflict: Desert Storm","PS2","2002","Shooter","Gotham Games",0.98,0.53,0,0.06,1.57,55,10,"8.6",45,"Pivotal Games","T"
"1186","Mario Party 7","GC","2005","Misc","Nintendo",0.95,0.11,0.46,0.04,1.57,64,25,"7.9",53,"Hudson","E"
"1187","Dragon Quest V: Hand of the Heavenly Bride","DS","2008","Role-Playing","Square Enix",0.17,0.02,1.36,0.02,1.57,84,46,"8.5",57,"ArtePiazza","E10+"
"1188","High School Musical 3: Senior Year","DS","2008","Misc","Disney Interactive Studios",0.63,0.76,0,0.17,1.56,NA,NA,"",NA,"",""
"1189","Smuggler's Run","PS2","2000","Racing","Take-Two Interactive",0.77,0.6,0,0.2,1.56,79,21,"6.8",18,"Rockstar San Diego","T"
"1190","Fight Night Round 3","PS2","2006","Fighting","Electronic Arts",1.07,0.4,0,0.1,1.56,84,32,"8.1",41,"EA Chicago","T"
"1191","Need for Speed: Most Wanted","X360","2012","Racing","Electronic Arts",0.62,0.78,0.01,0.15,1.56,83,54,"8.5",134,"EA Canada","T"
"1192","Carnival Games: Mini Golf","Wii","2008","Sports","Take-Two Interactive",0.86,0.54,0,0.15,1.56,38,10,"5.7",7,"Cat Daddy Games","E"
"1193","Donkey Kong Classics","NES","1988","Platform","Nintendo",0.59,0.14,0.81,0.02,1.56,NA,NA,"",NA,"",""
"1194","Hannah Montana: Music Jam","DS","2007","Action","Disney Interactive Studios",1.05,0.36,0,0.15,1.56,NA,NA,"",NA,"",""
"1195","Twisted Metal","PS","1995","Action","Sony Computer Entertainment",1.32,0.19,0,0.05,1.56,NA,NA,"",NA,"",""
"1196","Final Fight","SNES","1990","Action","Capcom",0.67,0.17,0.69,0.03,1.56,NA,NA,"",NA,"",""
"1197","Pokemon Mystery Dungeon: Explorers of Sky","DS","2009","Role-Playing","Nintendo",0.57,0.43,0.44,0.12,1.56,54,26,"9",133,"ChunSoft","E"
"1198","Dragon Quest Monsters 2","GB","2001","Role-Playing","Enix Corporation",0,0,1.56,0,1.56,NA,NA,"",NA,"",""
"1199","Pokemon Pinball: Ruby & Sapphire","GBA","2003","Misc","Nintendo",0.68,0.38,0.44,0.05,1.56,NA,NA,"",NA,"",""
"1200","MySims Kingdom","DS","2008","Simulation","Electronic Arts",0.8,0.59,0.01,0.16,1.55,58,9,"tbd",NA,"TOSE","E"
"1201","LEGO Pirates of the Caribbean: The Video Game","Wii","2011","Action","Disney Interactive Studios",0.73,0.67,0,0.15,1.55,73,14,"7",13,"Traveller's Tales","E10+"
"1202","Stuntman","PS2","2002","Racing","Atari",0.76,0.59,0,0.2,1.55,71,37,"5.7",36,"Reflections Interactive","T"
"1203","Tom Clancy's Rainbow Six 3","XB","2003","Shooter","Ubisoft",0.91,0.57,0,0.07,1.55,86,39,"8.5",31,"Ubisoft","M"
"1204","LEGO Harry Potter: Years 1-4","X360","2010","Action","Warner Bros. Interactive Entertainment",0.95,0.46,0,0.14,1.55,79,58,"8",62,"Traveller's Tales","E10+"
"1205","007: The World is not Enough","N64","2000","Action","Electronic Arts",1.13,0.38,0.02,0.03,1.55,NA,NA,"",NA,"",""
"1206","Spider-Man 2: Enter: Electro","PS","2001","Action","Activision",0.57,0.87,0.02,0.09,1.55,74,15,"8.7",35,"Vicarious Visions","E"
"1207","Guitar Hero 5","Wii","2009","Misc","Activision",0.92,0.48,0,0.15,1.55,89,25,"6.9",49,"Vicarious Visions","T"
"1208","Command & Conquer: Tiberian Sun","PC","1999","Strategy","Westwood Studios",1.55,0,0,0,1.55,NA,NA,"",NA,"",""
"1209","Wolfenstein: The New Order","PS4","2014","Shooter","Bethesda Softworks",0.47,0.8,0.03,0.24,1.55,79,73,"8.1",1116,"MachineGames","M"
"1210","Mafia II","X360","2010","Action","Take-Two Interactive",0.85,0.55,0,0.15,1.55,74,79,"7.8",458,"2K Czech","M"
"1211","Moshi Monsters: Moshling Zoo","DS","2011","Misc","Activision",0.37,0.96,0,0.21,1.54,NA,NA,"tbd",NA,"Mind Candy","E"
"1212","BioShock 2","PS3","2010","Shooter","Take-Two Interactive",0.85,0.46,0.02,0.22,1.54,88,62,"8.2",492,"2K Marin","M"
"1213","Dark Cloud","PS2","2000","Role-Playing","Sony Computer Entertainment",0.83,0.44,0.08,0.19,1.54,80,27,"8.2",99,"Level 5","T"
"1214","Warcraft III: The Frozen Throne","PC","2003","Strategy","Activision",0.58,0.87,0,0.09,1.54,88,23,"9",713,"Blizzard Entertainment","T"
"1215","Active Life: Outdoor Challenge","Wii","2008","Sports","Atari",0.78,0.43,0.19,0.14,1.54,69,6,"8.1",14,"h.a.n.d. Inc.","E"
"1216","Tom Clancy's Ghost Recon Advanced Warfighter","X360","2006","Shooter","Ubisoft",1.4,0.02,0.02,0.1,1.54,90,78,"8",215,"Ubisoft Paris","T"
"1217","Ratchet & Clank (2016)","PS4","2016","Platform","Sony Computer Entertainment",0.5,0.76,0.04,0.24,1.54,NA,NA,"",NA,"",""
"1218","MVP Baseball 2005","PS2","2005","Sports","Electronic Arts",1.26,0.07,0,0.21,1.54,87,25,"8.6",47,"EA Sports","E"
"1219","Die Hard Trilogy","PS","1996","Shooter","Fox Interactive",0.85,0.58,0,0.1,1.54,NA,NA,"",NA,"",""
"1220","Uncharted: Golden Abyss","PSV","2011","Shooter","Sony Computer Entertainment",0.53,0.66,0.13,0.22,1.53,80,80,"7.4",770,"Naughty Dog, Sony Bend","T"
"1221","Go Vacation","Wii","2011","Misc","Namco Bandai Games",0.42,0.65,0.33,0.14,1.53,64,28,"7.8",13,"Namco Bandai Games","E10+"
"1222","Pro Evolution Soccer 2013","PS3","2012","Sports","Konami Digital Entertainment",0.18,0.63,0.49,0.24,1.53,82,37,"6.7",146,"Konami","E"
"1223","Mortal Kombat 3","SNES","1994","Fighting","Acclaim Entertainment",1.19,0.29,0,0.05,1.53,NA,NA,"",NA,"",""
"1224","NFL GameDay 99","PS","1998","Sports","989 Studios",1.44,0.05,0,0.04,1.53,NA,NA,"",NA,"",""
"1225","Dishonored","PS3","2012","Action","Bethesda Softworks",0.72,0.52,0.04,0.25,1.53,89,35,"7.9",781,"Arkane Studios","M"
"1226","Mario Golf: Toadstool Tour","GC","2003","Sports","Nintendo",1.09,0.15,0.25,0.04,1.53,81,49,"8",56,"Camelot Software Planning","E"
"1227","Tiger Woods 99 PGA Tour Golf","PS","1997","Sports","Electronic Arts",0.85,0.58,0,0.1,1.53,NA,NA,"",NA,"",""
"1228","Call of Duty: Black Ops II","PC","2012","Shooter","Activision",0.64,0.69,0,0.19,1.53,74,11,"4.2",1635,"Treyarch","M"
"1229","Resident Evil: The Umbrella Chronicles","Wii","2007","Action","Capcom",0.67,0.43,0.29,0.14,1.52,75,47,"7.6",122,"Cavia Inc.","M"
"1230","Knockout Kings","PS","1997","Fighting","Electronic Arts",1.07,0.39,0,0.06,1.52,NA,NA,"",NA,"",""
"1231","The Simpsons Skateboarding","PS2","2002","Sports","Electronic Arts",0.36,0.9,0,0.27,1.52,38,21,"5",26,"The Code Monkeys","T"
"1232","Donkey Kong Country: Tropical Freeze","WiiU","2014","Platform","Nintendo",0.7,0.55,0.16,0.12,1.52,83,77,"8.9",712,"Retro Studios","E"
"1233","NASCAR 98","PS","1996","Racing","Electronic Arts",1.43,0.05,0,0.04,1.52,NA,NA,"",NA,"",""
"1234","Xevious","NES","1984","Shooter","Namco Bandai Games",0.18,0.06,1.27,0.01,1.52,NA,NA,"",NA,"",""
"1235","F1 Race","NES","1984","Racing","Nintendo",0,0,1.52,0,1.52,NA,NA,"",NA,"",""
"1236","NASCAR 99","PS","1998","Racing","Electronic Arts",1.45,0.04,0,0.04,1.52,NA,NA,"",NA,"",""
"1237","Final Fantasy XIV: A Realm Reborn","PC","2010","Role-Playing","Square Enix",0.88,0.48,0,0.17,1.52,NA,NA,"",NA,"",""
"1238","NBA Live 2000","PS","1998","Sports","Electronic Arts",1.43,0.05,0,0.03,1.52,NA,NA,"",NA,"",""
"1239","Fight Night Round 4","PS3","2009","Fighting","Electronic Arts",0.92,0.4,0,0.2,1.52,88,46,"7.6",95,"EA Canada","T"
"1240","Super Monkey Ball 2","GC","2002","Puzzle","Atari",1.11,0.31,0.06,0.04,1.52,87,34,"8.5",51,"Amusement Vision","E"
"1241","Pac-Man World 2","PS2","2002","Action","Namco Bandai Games",1.26,0.05,0,0.21,1.51,73,19,"7.8",26,"Namco","E"
"1242","Disney Fairies: Tinker Bell","DS","2008","Adventure","Disney Interactive Studios",0.85,0.51,0.01,0.15,1.51,NA,NA,"7.8",5,"Genius Sonority Inc., Disney Interactive Studios","E"
"1243","MySims Kingdom","Wii","2008","Simulation","Electronic Arts",0.7,0.64,0.01,0.16,1.51,76,19,"8.1",24,"EA Redwood Shores","E"
"1244","Dead Space 2","X360","2011","Shooter","Electronic Arts",0.94,0.44,0,0.13,1.51,90,83,"8.6",679,"Visceral Games","M"
"1245","Puzzle & Dragons","3DS","2013","Role-Playing","GungHo",0,0,1.51,0,1.51,NA,NA,"",NA,"",""
"1246","Call of Duty: Modern Warfare: Reflex Edition","Wii","2009","Shooter","Activision",0.94,0.43,0,0.14,1.51,NA,NA,"",NA,"",""
"1247","Mega Man 2","NES","1988","Action","Capcom",0.93,0.15,0.42,0.01,1.51,NA,NA,"",NA,"",""
"1248","Simpsons Wrestling","PS","2001","Fighting","Electronic Arts",0.23,1.16,0,0.11,1.51,NA,NA,"",NA,"",""
"1249","NBA Live 98","PS","1997","Sports","Electronic Arts",1.41,0.06,0,0.04,1.51,NA,NA,"",NA,"",""
"1250","The Simpsons Game","PS2","2007","Action","Electronic Arts",0.35,0.03,0,1.13,1.51,68,10,"8.2",27,"Electronic Arts","T"
"1251","Monopoly","PS","1997","Misc","Hasbro Interactive",1.18,0.27,0,0.05,1.51,NA,NA,"",NA,"",""
"1252","The Simpsons Game","DS","2007","Action","Electronic Arts",0.56,0.77,0,0.17,1.51,69,17,"7.3",18,"Griptonite Games","T"
"1253","Football Manager 2012","PC","2011","Sports","Sega",0.02,1.16,0,0.33,1.51,84,45,"8",172,"Sports Interactive","E"
"1254","Ni no Kuni: Wrath of the White Witch","PS3","2011","Role-Playing","Namco Bandai Games",0.6,0.47,0.21,0.23,1.51,85,89,"8.6",984,"Level 5","E10+"
"1255","SoulCalibur II","GC","2003","Fighting","Namco Bandai Games",0.99,0.32,0.11,0.08,1.5,93,45,"9.1",135,"Namco","T"
"1256","Call of Duty 3","PS3","2006","Shooter","Activision",0.6,0.62,0.03,0.26,1.5,80,43,"6.9",92,"Treyarch","T"
"1257","Tokyo Xtreme Racer Zero","PS2","2000","Racing","Crave Entertainment",0.66,0.52,0.15,0.17,1.5,76,15,"8.9",64,"Genki","E"
"1258","NFL Blitz","PS","1998","Sports","Midway Games",1.41,0.05,0,0.04,1.5,NA,NA,"",NA,"",""
"1259","Red Faction II","PS2","2002","Shooter","THQ",0.49,0.78,0,0.23,1.5,84,30,"8.3",35,"Volition Inc.","M"
"1260","Madden NFL 2001","PS2","2000","Sports","Electronic Arts",1.19,0.07,0.05,0.2,1.5,91,25,"7.7",7,"EA Sports","E"
"1261","Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki","NES","1986","Platform","Hudson Soft",0,0,1.5,0,1.5,NA,NA,"",NA,"",""
"1262","WWF No Mercy","N64","2000","Fighting","THQ",1.2,0.27,0.02,0.02,1.5,NA,NA,"",NA,"",""
"1263","Ice Climber","NES","1985","Platform","Nintendo",0.46,0.1,0.92,0.02,1.5,NA,NA,"",NA,"",""
"1264","Sonic CD","SCD","1993","Platform","Sega",1,0.36,0.09,0.05,1.5,NA,NA,"",NA,"",""
"1265","Star Wars: The Force Unleashed II","PS3","2010","Action","LucasArts",0.8,0.49,0,0.21,1.5,63,41,"6.8",121,"LucasArts","T"
"1266","Pac-Man World","PS","1998","Action","Namco Bandai Games",1.21,0.14,0.1,0.04,1.5,NA,NA,"",NA,"",""
"1267","Rock Band 2","PS3","2008","Misc","MTV Games",1.13,0.2,0,0.16,1.49,91,24,"7.9",88,"Harmonix Music Systems","T"
"1268","Final Fantasy: Crystal Chronicles","GC","2003","Role-Playing","Nintendo",0.72,0.38,0.36,0.04,1.49,80,55,"8.1",94,"Square Enix","T"
"1269","Medal of Honor: Frontline","XB","2002","Shooter","Electronic Arts",1,0.43,0,0.06,1.49,81,18,"6.9",23,"EA LA","T"
"1270","Madden NFL 09","PS2","2008","Sports","Electronic Arts",1.22,0,0,0.27,1.49,67,4,"7",24,"EA Tiburon","E"
"1271","Dead Rising 2","X360","2010","Action","Capcom",0.75,0.52,0.09,0.12,1.49,79,76,"6.9",216,"Blue Castle Games","M"
"1272","Banjo-Tooie","N64","2000","Platform","Nintendo",0.82,0.36,0.25,0.06,1.49,NA,NA,"",NA,"",""
"1273","Buzz! The BIG Quiz","PS2","2006","Misc","Sony Computer Entertainment",0,1.1,0,0.39,1.49,NA,NA,"",NA,"",""
"1274","Mafia II","PS3","2010","Action","Take-Two Interactive",0.5,0.69,0.04,0.26,1.49,75,61,"7.7",297,"2K Czech","M"
"1275","Batman: Arkham Knight","XOne","2015","Action","Warner Bros. Interactive Entertainment",0.88,0.47,0,0.14,1.49,85,16,"6.6",694,"Rocksteady Studios","M"
"1276","Doom (2016)","PS4","2016","Shooter","Bethesda Softworks",0.54,0.69,0.02,0.24,1.49,NA,NA,"",NA,"",""
"1277","Dirge of Cerberus: Final Fantasy VII","PS2","2006","Shooter","Square Enix",0.47,0.37,0.52,0.12,1.48,57,51,"6.9",103,"Square Enix","T"
"1278","WWF WrestleMania 2000","N64","1999","Fighting","THQ",1.2,0.25,0.02,0.02,1.48,NA,NA,"",NA,"",""
"1279","Wario Land II","GB","1997","Platform","Nintendo",0.7,0.35,0.39,0.04,1.48,NA,NA,"",NA,"",""
"1280","Nintendo World Cup","NES","1990","Sports","Nintendo",0.28,0.5,0.65,0.05,1.48,NA,NA,"",NA,"",""
"1281","Sonic Rivals 2","PSP","2007","Racing","Sega",0.44,0.67,0,0.37,1.48,60,24,"7.8",35,"Backbone Entertainment","E"
"1282","Bratz: Forever Diamondz","DS","2006","Adventure","THQ",0.43,0.88,0,0.18,1.48,NA,NA,"6.5",4,"Barking Lizards","E"
"1283","Resistance 3","PS3","2011","Shooter","Sony Computer Entertainment",0.64,0.57,0.05,0.22,1.48,83,91,"7.8",543,"Insomniac Games","M"
"1284","Drawn To Life: SpongeBob SquarePants Edition","DS","2008","Adventure","THQ",0.99,0.35,0,0.13,1.48,68,12,"5.5",4,"Altron","E"
"1285","Disney Sing It: Pop Hits","Wii","2009","Misc","Disney Interactive Studios",1.07,0.28,0,0.13,1.48,NA,NA,"tbd",NA,"Zoe Mode","E"
"1286","007: Quantum of Solace","X360","2008","Action","Activision",0.82,0.51,0.01,0.14,1.48,65,69,"7.1",71,"Treyarch","T"
"1287","Major League Baseball 2K5","PS2","2005","Sports","Take-Two Interactive",0.72,0.56,0,0.19,1.48,82,19,"7.4",20,"Kush Games","E"
"1288","Fight Night 2004","PS2","2004","Fighting","Electronic Arts",1.08,0.2,0,0.2,1.48,85,43,"9",25,"EA Sports","T"
"1289","LEGO Star Wars III: The Clone Wars","X360","2011","Action","LucasArts",0.84,0.51,0,0.13,1.48,75,43,"7.8",42,"Traveller's Tales","E10+"
"1290","Tom Clancy's Splinter Cell: Pandora Tomorrow","XB","2004","Action","Ubisoft",0.82,0.59,0,0.07,1.48,93,74,"8.6",68,"Ubisoft Shanghai","T"
"1291","LEGO City Undercover","3DS","2013","Platform","Nintendo",0.52,0.77,0.07,0.11,1.47,NA,NA,"",NA,"",""
"1292","Imagine: Master Chef","DS","2007","Simulation","Ubisoft",0.39,0.91,0,0.17,1.47,NA,NA,"tbd",NA,"Ubisoft","E"
"1293","Disney Princess","GBA","2003","Platform","THQ",1.04,0.37,0,0.06,1.47,NA,NA,"tbd",NA,"Art","E"
"1294","Mario Golf","N64","1999","Action","Nintendo",0.62,0.18,0.65,0.02,1.47,NA,NA,"",NA,"",""
"1295","Call of Duty Black Ops: Declassified","PSV","2012","Action","Activision",0.71,0.43,0.07,0.26,1.47,33,58,"4.8",479,"Nihilistic","M"
"1296","Tom Clancy's Ghost Recon: Future Soldier","X360","2012","Shooter","Ubisoft",0.93,0.4,0.02,0.12,1.47,79,75,"7.2",334,"Ubisoft Paris","M"
"1297","Fight Night Round 3","X360","2006","Fighting","Electronic Arts",1.33,0.03,0.01,0.1,1.47,86,67,"8.8",264,"EA Chicago","T"
"1298","Xenogears","PS","1998","Role-Playing","SquareSoft",0.29,0.19,0.89,0.1,1.46,84,15,"8.4",204,"SquareSoft","T"
"1299","The SpongeBob SquarePants Movie","GBA","2004","Platform","THQ",1.02,0.38,0,0.06,1.46,NA,NA,"tbd",NA,"WayForward","E"
"1300","Super Scribblenauts","DS","2010","Puzzle","Warner Bros. Interactive Entertainment",1.06,0.29,0,0.11,1.46,81,53,"8.2",46,"5TH Cell","E10+"
"1301","Midway Arcade Treasures","PS2","2003","Misc","Midway Games",0.72,0.56,0,0.19,1.46,76,22,"tbd",NA,"Midway","T"
"1302","Triple Play 99","PS","N/A","Sports","N/A",0.81,0.55,0,0.1,1.46,NA,NA,"",NA,"",""
"1303","Dragon Quest VII: Warriors of Eden","3DS","2013","Role-Playing","Square Enix",0.06,0.09,1.3,0.01,1.46,NA,NA,"",NA,"",""
"1304","Super Monkey Ball","GC","2001","Puzzle","Atari",0.95,0.37,0.1,0.04,1.46,87,28,"7.9",46,"Amusement Vision","E"
"1305","SoulCalibur IV","PS3","2008","Fighting","Ubisoft",0.72,0.4,0.14,0.2,1.46,85,65,"7.9",129,"Namco","T"
"1306","Donkey Kong","2600","1981","Platform","Coleco",1.36,0.08,0,0.02,1.46,NA,NA,"",NA,"",""
"1307","Mortal Kombat 4","PS","1998","Fighting","GT Interactive",0.81,0.55,0,0.1,1.46,NA,NA,"",NA,"",""
"1308","New Play Control! Mario Power Tennis","Wii","2009","Sports","Nintendo",0.35,0.69,0.28,0.14,1.46,NA,NA,"",NA,"",""
"1309","Mario Superstar Baseball","GC","2005","Sports","Nintendo",0.93,0.24,0.25,0.04,1.46,76,38,"8.6",41,"Namco","E"
"1310","Wall-E","DS","2008","Platform","THQ",0.46,0.82,0,0.17,1.46,54,15,"tbd",NA,"Helixe","E"
"1311","WCW vs the World","PS","1998","Fighting","THQ",1.17,0.2,0.04,0.05,1.46,NA,NA,"",NA,"",""
"1312","Battlefield: Bad Company","X360","2008","Shooter","Electronic Arts",0.81,0.46,0.04,0.15,1.46,83,70,"7.7",263,"EA DICE","T"
"1313","Homefront","X360","2011","Shooter","THQ",0.83,0.48,0.02,0.12,1.45,70,85,"6",399,"Kaos Studios","M"
"1314","Onimusha 3: Demon Siege","PS2","2004","Action","Capcom",0.37,0.47,0.54,0.07,1.45,85,53,"8.6",73,"Capcom","M"
"1315","Madden NFL 15","PS3","2014","Sports","Electronic Arts",1.08,0.11,0,0.27,1.45,NA,NA,"2.7",13,"EA Sports","E"
"1316","Red Dead Revolver","PS2","2004","Shooter","Take-Two Interactive",0.71,0.55,0,0.19,1.45,73,42,"7.8",70,"Rockstar San Diego","M"
"1317","Resident Evil: Outbreak","PS2","2003","Action","Capcom",0.54,0.35,0.46,0.1,1.45,71,40,"8.3",94,"Capcom","M"
"1318","Tamagotchi","GB","1996","Simulation","Namco Bandai Games",0,0,1.44,0.01,1.45,NA,NA,"",NA,"",""
"1319","4 Nin uchi Mahjong","NES","1984","Misc","Nintendo",0,0,1.45,0,1.45,NA,NA,"",NA,"",""
"1320","Dragon Ball Z","SNES","1993","Fighting","Namco Bandai Games",0,0,1.45,0,1.45,NA,NA,"",NA,"",""
"1321","Game de Hakken!! Tamagotchi 2","GB","1997","Simulation","Namco Bandai Games",0,0,1.44,0.01,1.45,NA,NA,"",NA,"",""
"1322","Namco Museum 64","N64","1999","Misc","Namco Bandai Games",1.24,0.17,0.03,0.01,1.45,NA,NA,"",NA,"",""
"1323","Mass Effect 2","PS3","2011","Role-Playing","Electronic Arts",0.78,0.45,0.03,0.19,1.45,94,62,"8.5",1081,"BioWare","M"
"1324","LEGO Battles: Ninjago","DS","2011","Strategy","Warner Bros. Interactive Entertainment",1.02,0.32,0,0.11,1.45,59,14,"6.9",11,"Hellbent Games","E"
"1325","Tony Hawk's American Wasteland (Weekly american sales)","PS2","2005","Sports","Activision",1.38,0.05,0,0.02,1.45,NA,NA,"",NA,"",""
"1326","NBA 2K14","PS4","2013","Sports","Take-Two Interactive",0.89,0.31,0.01,0.23,1.45,85,20,"6.5",368,"Visual Concepts","E"
"1327","The House of the Dead 2 & 3 Return","Wii","2008","Shooter","Sega",0.77,0.49,0.03,0.15,1.44,NA,NA,"",NA,"",""
"1328","SingStar Pop","PS2","2007","Misc","Sony Computer Entertainment",0.04,1.08,0,0.32,1.44,73,13,"7.5",8,"SCEE London Studio","E10+"
"1329","Kirby Super Star","SNES","1996","Platform","Nintendo",0.26,0.07,1.09,0.02,1.44,NA,NA,"",NA,"",""
"1330","Sonic & Sega All-Stars Racing","Wii","2010","Racing","Sega",0.61,0.68,0,0.15,1.44,NA,NA,"",NA,"",""
"1331","Disney Infinity","X360","2013","Action","Disney Interactive Studios",0.97,0.34,0,0.13,1.44,74,38,"6.5",79,"Avalanche Software","E10+"
"1332","My Word Coach","DS","2007","Misc","Ubisoft",0.37,0.89,0,0.18,1.44,71,7,"6.8",5,"Ubisoft","E"
"1333","Tiger Woods PGA Tour 2005","PS2","2004","Sports","Electronic Arts",1.03,0.32,0,0.09,1.44,88,30,"8.2",20,"EA Sports","E"
"1334","NCAA Football 2003","PS2","2002","Sports","Electronic Arts",1.16,0.08,0,0.19,1.44,91,19,"8.6",27,"EA Sports","E"
"1335","Star Wars: The Force Unleashed II","X360","2010","Action","LucasArts",0.95,0.37,0,0.11,1.43,61,59,"5.7",180,"LucasArts","T"
"1336","Frogger 2: Swampy's Revenge","PS","1999","Action","Hasbro Interactive",0.8,0.54,0,0.09,1.43,77,4,"7.9",8,"Blitz Games","E"
"1337","WWE SmackDown vs Raw 2008","X360","2007","Fighting","THQ",0.92,0.38,0,0.13,1.43,71,41,"6.8",48,"Yuke's","T"
"1338","Kinect Joy Ride","X360","2010","Racing","Microsoft Game Studios",0.92,0.39,0,0.12,1.43,52,46,"5",20,"BigPark","E"
"1339","Smarty Pants","Wii","2007","Misc","Electronic Arts",0.52,0.75,0,0.16,1.43,65,26,"7.6",10,"Planet Moon Studios","E"
"1340","SNK vs. Capcom: The Match of the Millennium","PSP","2006","Fighting","Sega",0.53,0.57,0,0.34,1.43,NA,NA,"",NA,"",""
"1341","Disney's DuckTales","GB","1988","Platform","Capcom",0.82,0.23,0.35,0.03,1.43,NA,NA,"",NA,"",""
"1342","Disney Princess: Magical Jewels","DS","2007","Adventure","Disney Interactive Studios",1.12,0.19,0,0.11,1.43,NA,NA,"tbd",NA,"1st Playable Productions","E"
"1343","Classic NES Series: Super Mario Bros.","GBA","2004","Platform","Nintendo",0,0,1.39,0.03,1.43,84,14,"8.6",44,"Nintendo","E"
"1344","Triple Play 2000","PS","1999","Sports","Electronic Arts",0.79,0.54,0,0.09,1.43,NA,NA,"",NA,"",""
"1345","Anno 2070","PC","2011","Strategy","Ubisoft",0,1.13,0,0.29,1.43,83,33,"7",493,"Blue Byte, Related Designs","T"
"1346","Hasbro Family Game Night","Wii","2008","Puzzle","Electronic Arts",0.96,0.33,0,0.13,1.43,63,12,"7.5",11,"EA Bright Light","E"
"1347","Sonic Rivals","PSP","2006","Racing","Sega",0.73,0.42,0,0.27,1.42,64,25,"7.8",38,"Backbone Entertainment","E"
"1348","BioShock","PS3","2008","Shooter","Take-Two Interactive",0.75,0.46,0.01,0.2,1.42,94,51,"8.7",881,"Digital Extremes, 2K Marin","M"
"1349","Mass Effect 3","PS3","2012","Role-Playing","Electronic Arts",0.63,0.56,0.03,0.2,1.42,93,30,"5.5",1849,"BioWare","M"
"1350","Cabela's Big Game Hunter","PS2","2002","Sports","Activision",0.7,0.54,0,0.18,1.42,59,7,"7.8",12,"Sand Grain Studios","T"
"1351","NBA Live 06 (Weekly american sales)","PS2","2005","Sports","Electronic Arts",1.35,0.05,0,0.02,1.42,NA,NA,"",NA,"",""
"1352","SimCity (2013)","PC","2013","Simulation","Electronic Arts",0.48,0.77,0,0.17,1.42,64,75,"2.2",4572,"Maxis","E10+"
"1353","The Legend of Zelda: The Minish Cap","GBA","2004","Action","Nintendo",0.89,0.22,0.22,0.1,1.42,89,56,"9",203,"Flagship","E"
"1354","NFL Street","PS2","2004","Sports","Electronic Arts",1.15,0.08,0,0.19,1.42,80,36,"8.9",45,"EA Tiburon","E"
"1355","Super Metroid","SNES","1994","Action","Nintendo",0.57,0.12,0.71,0.02,1.42,NA,NA,"",NA,"",""
"1356","Pro Yakyuu Family Stadium '87","NES","1987","Sports","Namco Bandai Games",0.12,0,1.3,0,1.42,NA,NA,"",NA,"",""
"1357","Dead Space 2","PS3","2011","Shooter","Electronic Arts",0.73,0.48,0,0.21,1.42,89,78,"8.4",535,"Visceral Games","M"
"1358","Tiger Woods PGA Tour 09 All-Play","Wii","2008","Sports","Electronic Arts",0.8,0.47,0,0.14,1.42,81,18,"8.7",34,"EA Tiburon","E"
"1359","Metal Gear Rising: Revengeance","PS3","2013","Action","Konami Digital Entertainment",0.45,0.37,0.44,0.16,1.42,80,61,"7.9",746,"PlatinumGames","M"
